municipio_norm,uf_sigla,municipio_ri_norm,observacao
MARIA HELENA,PR,UMUARAMA,Importado da revisao - sugestao distancia (UMUARAMA)
MARILENA,PR,NOVA LONDRINA,Importado da revisao - sugestao distancia (NOVA LONDRINA)
MARILUZ,PR,GOIOERE,Importado da revisao - sugestao distancia (GOIOERE)
MARIPA,PR,PALOTINA,Importado da revisao - sugestao distancia (PALOTINA)
MARIOPOLIS,PR,PATO BRANCO,Importado da revisao - sugestao distancia (PATO BRANCO)
MARQUINHO,PR,PALMITAL,Importado da revisao - sugestao distancia (PALMITAL)
MARUMBI,PR,JANDAIA DO SUL,Importado da revisao - sugestao distancia (JANDAIA DO SUL)
MATO RICO,PR,PALMITAL,Importado da revisao - sugestao distancia (PALMITAL)
MAUA DA SERRA,PR,FAXINAL,Importado da revisao - sugestao distancia (FAXINAL)
MERCEDES,PR,MARECHAL CANDIDO RONDON,Importado da revisao - sugestao distancia (MARECHAL CANDIDO RONDON)
MIRADOR,PR,PARAISO DO NORTE,Importado da revisao - sugestao distancia (PARAISO DO NORTE)
MIRASELVA,PR,JAGUAPITA,Importado da revisao - sugestao distancia (JAGUAPITA)
MISSAL,PR,SANTA HELENA,Importado da revisao - sugestao distancia (SANTA HELENA)
MOREIRA SALES,PR,GOIOERE,Importado da revisao - sugestao distancia (GOIOERE)
MUNHOZ DE MELO,PR,SANTA FE,Importado da revisao - sugestao distancia (SANTA FE)
NOSSA SENHORA DAS GRACAS,PR,SANTA FE,Importado da revisao - sugestao distancia (SANTA FE)
NOVA ALIANCA DO IVAI,PR,PARAISO DO NORTE,Importado da revisao - sugestao distancia (PARAISO DO NORTE)
NOVA AMERICA DA COLINA,PR,ASSAI,Importado da revisao - sugestao distancia (ASSAI)
NOVA CANTU,PR,CAMPINA DA LAGOA,Importado da revisao - sugestao distancia (CAMPINA DA LAGOA)
NOVA ESPERANCA DO SUDOESTE,PR,SALTO DO LONTRA,Importado da revisao - sugestao distancia (SALTO DO LONTRA)
NOVA LARANJEIRAS,PR,LARANJEIRAS DO SUL,Importado da revisao - sugestao distancia (LARANJEIRAS DO SUL)
NOVA OLIMPIA,PR,CIDADE GAUCHA,Importado da revisao - sugestao distancia (CIDADE GAUCHA)
NOVA PRATA DO IGUACU,PR,SALTO DO LONTRA,Importado da revisao - sugestao distancia (SALTO DO LONTRA)
NOVA SANTA BARBARA,PR,SAO JERONIMO DA SERRA,Importado da revisao - sugestao distancia (SAO JERONIMO DA SERRA)
NOVA SANTA ROSA,PR,MARECHAL CANDIDO RONDON,Importado da revisao - sugestao distancia (MARECHAL CANDIDO RONDON)
NOVA TEBAS,PR,IRETAMA,Importado da revisao - sugestao distancia (IRETAMA)
NOVO ITACOLOMI,PR,MARILANDIA DO SUL,Importado da revisao - sugestao distancia (MARILANDIA DO SUL)
OURIZONA,PR,MANDAGUACU,Importado da revisao - sugestao distancia (MANDAGUACU)
OURO VERDE DO OESTE,PR,TOLEDO,Importado da revisao - sugestao distancia (TOLEDO)
PAICANDU,PR,MARINGA,Importado da revisao - sugestao distancia (MARINGA)
PARANAPOEMA,PR,COLORADO,Importado da revisao - sugestao distancia (COLORADO)
PATO BRAGADO,PR,MARECHAL CANDIDO RONDON,Importado da revisao - sugestao distancia (MARECHAL CANDIDO RONDON)
PAULA FREITAS,PR,UNIAO DA VITORIA,Importado da revisao - sugestao distancia (UNIAO DA VITORIA)
PAULO FRONTIN,PR,MALLET,Importado da revisao - sugestao distancia (MALLET)
PEROBAL,PR,ALTO PIQUIRI,Importado da revisao - sugestao distancia (ALTO PIQUIRI)
PINHAL DE SAO BENTO,PR,AMPERE,Importado da revisao - sugestao distancia (AMPERE)
PINHALAO,PR,TOMAZINA,Importado da revisao - sugestao distancia (TOMAZINA)
PITANGUEIRAS,PR,ASTORGA,Importado da revisao - sugestao distancia (ASTORGA)
